,SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
0,2020,1610612748,MIA,Miami Heat,22000773,2021-04-06,MIA vs. MEM,L,35,28,11,16,0.688,1,2,0.5,5,6,0.833,1,2,3,5,2,0,1,1,0.2,True
1,2020,1610612748,MIA,Miami Heat,22000749,2021-04-03,MIA vs. CLE,W,32,15,4,8,0.5,0,0,,7,7,1.0,2,4,6,11,2,0,1,2,2.2,True
2,2020,1610612748,MIA,Miami Heat,22000733,2021-04-01,MIA vs. GSW,W,35,22,7,13,0.538,1,3,0.333,7,9,0.778,1,5,6,8,4,0,1,2,2.0,True
3,2020,1610612748,MIA,Miami Heat,22000722,2021-03-31,MIA @ IND,W,37,18,6,14,0.429,0,2,0.0,6,7,0.857,1,3,4,4,2,1,2,1,1.2,False
4,2020,1610612748,MIA,Miami Heat,22000710,2021-03-29,MIA @ NYK,W,34,27,10,15,0.667,0,3,0.0,7,8,0.875,1,4,5,6,0,1,1,2,1.2,False
5,2020,1610612748,MIA,Miami Heat,22000686,2021-03-26,MIA @ CHA,L,38,20,7,16,0.438,2,8,0.25,4,6,0.667,1,4,5,9,1,0,1,4,1.8,False
6,2020,1610612748,MIA,Miami Heat,22000664,2021-03-23,MIA vs. PHX,L,27,14,7,13,0.538,0,1,0.0,0,0,,4,7,11,1,1,0,5,2,-3.8,True
7,2020,1610612748,MIA,Miami Heat,22000645,2021-03-21,MIA vs. IND,L,42,21,7,16,0.438,0,1,0.0,7,8,0.875,6,9,15,7,0,0,2,3,-3.0,True
8,2020,1610612748,MIA,Miami Heat,22000632,2021-03-19,MIA vs. IND,L,32,17,6,10,0.6,0,0,,5,5,1.0,2,6,8,4,2,0,3,0,-5.2,True
9,2020,1610612748,MIA,Miami Heat,22000623,2021-03-17,MIA @ MEM,L,36,24,10,20,0.5,2,6,0.333,2,3,0.667,2,5,7,2,1,0,1,2,0.6,False
10,2020,1610612748,MIA,Miami Heat,22000610,2021-03-16,MIA vs. CLE,W,32,28,11,16,0.688,0,1,0.0,6,6,1.0,4,8,12,4,2,0,3,2,2.8,True
11,2020,1610612748,MIA,Miami Heat,22000596,2021-03-14,MIA @ ORL,W,36,29,10,17,0.588,0,4,0.0,9,10,0.9,2,5,7,9,5,1,1,1,2.6,False
12,2020,1610612748,MIA,Miami Heat,22000582,2021-03-12,MIA @ CHI,W,33,28,9,17,0.529,0,1,0.0,10,12,0.833,0,3,3,8,4,1,2,2,1.8,False
13,2020,1610612748,MIA,Miami Heat,22000571,2021-03-11,MIA vs. ORL,W,36,27,9,17,0.529,1,4,0.25,8,13,0.615,1,7,8,11,3,1,2,2,2.2,True
14,2020,1610612748,MIA,Miami Heat,22000557,2021-03-04,MIA @ NOP,W,34,29,10,14,0.714,1,2,0.5,8,9,0.889,0,3,3,9,3,0,3,3,2.2,False
15,2020,1610612748,MIA,Miami Heat,22000507,2021-02-26,MIA vs. UTA,W,35,33,12,22,0.545,0,3,0.0,9,11,0.818,4,6,10,8,1,0,3,0,1.8,True
16,2020,1610612748,MIA,Miami Heat,22000492,2021-02-24,MIA vs. TOR,W,34,27,8,17,0.471,3,4,0.75,8,8,1.0,2,6,8,10,3,1,2,1,2.0,True
17,2020,1610612748,MIA,Miami Heat,22000475,2021-02-22,MIA @ OKC,W,29,15,3,11,0.273,0,0,,9,9,1.0,2,2,4,9,1,1,1,0,2.2,False
18,2020,1610612748,MIA,Miami Heat,22000463,2021-02-20,MIA @ LAL,W,34,24,8,20,0.4,0,0,,8,10,0.8,4,4,8,5,2,0,5,2,0.0,False
19,2020,1610612748,MIA,Miami Heat,22000447,2021-02-18,MIA @ SAC,W,35,13,6,12,0.5,0,1,0.0,1,2,0.5,3,7,10,13,1,0,3,2,0.8,False
20,2020,1610612748,MIA,Miami Heat,22000443,2021-02-17,MIA @ GSW,L,41,13,6,15,0.4,1,2,0.5,0,0,,2,10,12,11,3,0,5,2,-1.0,False
21,2020,1610612748,MIA,Miami Heat,22000425,2021-02-15,MIA @ LAC,L,38,30,10,19,0.526,0,2,0.0,10,10,1.0,3,7,10,10,2,0,1,1,1.0,False
22,2020,1610612748,MIA,Miami Heat,22000410,2021-02-13,MIA @ UTA,L,32,15,3,10,0.3,1,2,0.5,8,12,0.667,3,5,8,5,3,0,3,3,-4.4,False
23,2020,1610612748,MIA,Miami Heat,22000392,2021-02-11,MIA @ HOU,W,39,27,8,18,0.444,1,2,0.5,10,11,0.909,1,9,10,10,0,0,3,1,0.8,False
24,2020,1610612748,MIA,Miami Heat,22000376,2021-02-09,MIA vs. NYK,W,36,26,6,15,0.4,1,2,0.5,13,15,0.867,0,8,8,10,1,1,2,1,5.0,True
25,2020,1610612748,MIA,Miami Heat,22000364,2021-02-07,MIA @ NYK,W,34,17,3,11,0.273,0,1,0.0,11,12,0.917,2,8,10,9,1,0,4,1,2.2,False
26,2020,1610612748,MIA,Miami Heat,22000347,2021-02-05,MIA vs. WAS,W,26,14,4,7,0.571,0,0,,6,8,0.75,1,7,8,9,3,1,2,1,6.8,True
27,2020,1610612748,MIA,Miami Heat,22000331,2021-02-03,MIA vs. WAS,L,37,19,5,11,0.455,0,1,0.0,9,11,0.818,3,5,8,9,1,0,0,1,-0.2,True
