SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2020,1610612742,DAL,Dallas Mavericks,22000932,2021-04-27,DAL @ GSW,W,28,39,15,23,0.652,4,10,0.4,5,5,1.0,2,4,6,8,2,0,7,3,5.8,False
2020,1610612742,DAL,Dallas Mavericks,22000926,2021-04-26,DAL @ SAC,L,38,24,8,20,0.4,4,12,0.333,4,6,0.667,0,8,8,8,0,0,4,2,-3.8,False
2020,1610612742,DAL,Dallas Mavericks,22000908,2021-04-24,DAL vs. LAL,W,39,18,6,15,0.4,2,6,0.333,4,5,0.8,0,8,8,13,0,0,6,1,5.2,True
2020,1610612742,DAL,Dallas Mavericks,22000897,2021-04-22,DAL vs. LAL,W,36,30,9,21,0.429,3,9,0.333,9,11,0.818,1,8,9,8,3,0,5,5,-0.8,True
2020,1610612742,DAL,Dallas Mavericks,22000442,2021-04-21,DAL vs. DET,W,33,30,10,22,0.455,4,11,0.364,6,10,0.6,2,8,10,9,2,0,3,2,2.0,True
2020,1610612742,DAL,Dallas Mavericks,22000866,2021-04-18,DAL vs. SAC,L,36,37,14,27,0.519,4,13,0.308,5,10,0.5,2,6,8,4,1,3,4,5,-4.0,True
2020,1610612742,DAL,Dallas Mavericks,22000854,2021-04-16,DAL vs. NYK,L,38,22,7,16,0.438,2,9,0.222,6,10,0.6,0,8,8,19,0,1,3,3,1.0,True
2020,1610612742,DAL,Dallas Mavericks,22000837,2021-04-14,DAL @ MEM,W,34,29,10,20,0.5,3,10,0.3,6,9,0.667,0,5,5,9,2,1,3,4,-0.8,False
2020,1610612742,DAL,Dallas Mavericks,22000818,2021-04-12,DAL vs. PHI,L,33,32,10,20,0.5,2,7,0.286,10,11,0.909,2,2,4,4,1,1,4,0,-3.4,True
2020,1610612742,DAL,Dallas Mavericks,22000810,2021-04-11,DAL vs. SAS,L,35,29,10,17,0.588,2,8,0.25,7,8,0.875,0,3,3,7,1,0,5,2,-1.2,True
2020,1610612742,DAL,Dallas Mavericks,22000786,2021-04-08,DAL vs. MIL,W,37,27,11,20,0.55,3,8,0.375,2,5,0.4,0,9,9,9,0,1,4,3,3.8,True
2020,1610612742,DAL,Dallas Mavericks,22000456,2021-04-07,DAL @ HOU,L,37,23,9,26,0.346,1,9,0.111,4,5,0.8,2,7,9,5,1,1,5,5,-1.4,False
